,name,address,start_time,end_time,start_time_saturday,end_time_saturday,start_time_holiday,end_time_holiday,fee,longitude,latitude
183,久御山佐山,京都府久世郡久御山町佐山西ノ口31-1,9:00,22:00,9:00,22:00,9:00,22:00,110,135.748566,34.874214
184,向日町支店,京都府向日市向日町北山12,8:00,21:00,8:00,21:00,8:00,21:00,110,135.69957,34.944515
185,乙訓総合庁舎,京都府向日市上植野町馬立 8番地,8:45,18:00,-,-,-,-,110,135.699173,34.939941
186,向日市役所,京都府向日市寺戸町中野20,8:00,21:00,8:00,21:00,8:00,21:00,110,135.697968,34.948475
187,長岡支店,京都府長岡京市開田3-2-39,8:00,21:00,8:00,21:00,8:00,21:00,110,135.694427,34.926178
188,イズミヤ長岡店,京都府長岡京市開田4丁目7番1号,8:00,20:00,8:00,20:00,8:00,20:00,110,135.691818,34.922436
189,ＪＲ長岡京駅,京都府長岡京市神足2丁目4-1,7:00,23:00,7:00,23:00,7:00,23:00,110,135.699844,34.921837
190,西友長岡店,京都府長岡京市長岡2丁目2番35号,8:00,21:00,8:00,21:00,8:00,21:00,110,135.689972,34.927185
191,コープながおか,京都府長岡京市友岡2丁目140番地,9:30,21:00,9:30,21:00,9:30,21:00,110,135.694,34.916912
192,円明寺団地,京都府乙訓郡大山崎町字円明寺小字若宮町10-62,8:45,20:00,8:45,20:00,8:45,20:00,110,135.685974,34.910858
193,フレンドマート長岡京店,京都府長岡京市神足2丁目2-1,9:30,22:00,9:30,22:00,9:30,22:00,110,135.69902,34.922802
194,ＪＲ山崎駅前,京都府乙訓郡大山崎町西谷 3番地の3,7:00,23:00,7:00,23:00,7:00,23:00,110,135.688614,34.902779
195,大山崎町役場,京都府乙訓郡大山崎町字円明寺小字夏目3番地,8:00,20:00,8:00,20:00,-,-,110,135.688202,34.902229
196,宇治支店,京都府宇治市宇治妙楽160-1　,8:00,21:00,8:00,21:00,8:00,21:00,110,135.803268,34.891129
197,宇治市役所,京都府宇治市宇治琵琶33,7:00,21:00,7:00,21:00,7:00,21:00,110,135.799255,34.885136
198,宇治総合庁舎,京都府宇治市宇治若森 7番地の6,8:45,18:00,-,-,-,-,110,135.797638,34.887966
199,ＪＲ宇治駅前,京都府宇治市宇治妙楽 182番地の12,7:00,23:00,7:00,23:00,7:00,23:00,110,135.801971,34.890381
200,フレンドマート宇治店,京都府宇治市宇治樋ノ尻７９-１,9:30,21:00,9:30,21:00,9:30,21:00,110,135.793945,34.892296
201,宇治おうばく病院,京都府宇治市五ヶ庄三番割３２-１,9:00,18:00,9:00,18:00,9:00,18:00,110,135.808014,34.913933
202,八幡支店,京都府八幡市八幡沓田10-5（八幡中央支店内）,8:00,21:00,8:00,21:00,8:00,21:00,110,135.706665,34.874405
203,大久保支店,京都府宇治市広野町茶屋裏12-5,8:00,21:00,8:00,21:00,8:00,21:00,110,135.778702,34.872616
204,神明,京都府宇治市神明宮北22番地の7,8:45,20:00,8:45,20:00,8:45,20:00,110,135.787933,34.88052
205,木津支店,京都府木津川市木津駅前一丁目15番地,8:00,21:00,8:00,21:00,8:00,21:00,110,135.822968,34.735973
206,和束町,京都府相楽郡和束町大字南小字川口44番地,8:45,19:00,8:45,19:00,-,-,110,135.927017,34.789948
207,中村屋梅美台店,京都府木津川市梅美台8-1-5,8:30,22:00,8:30,22:00,8:30,22:00,110,135.840256,34.711555
208,サンフレッシュ加茂店,京都府木津川市加茂町里上須田32番地,8:00,21:00,8:00,21:00,8:00,21:00,110,135.867889,34.74847
209,ガーデンモール木津川,京都府木津川市州見台1-1-1,10:00,21:00,10:00,21:00,10:00,21:00,110,135.817764,34.720612
210,東向日町支店,京都府向日市寺戸町初田26-5,7:00,23:00,7:00,23:00,7:00,23:00,110,135.703827,34.952309
211,マツモト大原野店,京都府京都市西京区大原野上里南ノ町923-2,9:00,22:00,9:00,22:00,9:00,22:00,110,135.692047,34.949722
212,小倉支店,京都府宇治市小倉町神楽田6-3,8:00,21:00,8:00,21:00,8:00,21:00,110,135.782684,34.893921
213,小倉北,京都府宇治市小倉町神楽田４-３,7:00,23:00,7:00,23:00,7:00,23:00,110,135.78215,34.894737
214,田辺支店,京都府京田辺市田辺中央3-7-1,8:00,21:00,8:00,21:00,8:00,21:00,110,135.77002,34.81926
215,京田辺市役所,京都府京田辺市田辺80番地,9:00,17:30,-,-,-,-,110,135.767929,34.814487
216,同志社大学田辺,京都府京田辺市多々羅都谷 1番地の3,8:45,18:00,8:45,18:00,-,-,110,135.770508,34.801334
217,アル・プラザ京田辺,京都府京田辺市田辺明田60番地,10:00,21:00,10:00,21:00,10:00,21:00,110,135.767975,34.822578
218,新田辺駅,京都府京田辺市河原食田2番地の３,7:00,23:00,7:00,23:00,7:00,23:00,110,135.772705,34.82114
219,城陽支店,京都府城陽市寺田袋尻21-2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.780624,34.852364
220,城陽市役所,京都府城陽市寺田東ノ口17番地83,8:45,20:00,8:45,20:00,8:45,20:00,110,135.779709,34.851093
221,城陽友ケ丘,京都府城陽市寺田深谷64番地280,8:00,20:00,8:00,20:00,8:00,20:00,110,135.788483,34.859676
